SongNumber,Title,ArtistID,Year, Hotness,Duration,Tempo,AlbumID
29,Spanish Grease,AROUOZZ1187B9ABE51,1997,-1,168.25424,127.025,59744
30,Crazy Mixed Up World,ARH4Z031187B9A71F2,1961,0,156.39465,95.957,373723
31,Do You Finally Need A Friend,ARB29H41187B98F0EF,1972,0.413739836,342.56934,110.189,228326
32,The Emperor Falls,AR1Y2PT1187FB5B9CE,0,0.377531645,484.62322,138.007,463514
33,Twist and Shout,ARAJPHH1187FB5566A,1964,0.443291312,164.80608,130.1,643400
34,It Makes No Difference Now,AR0RCMP1187FB3F427,1992,0,133.32853,160.839,663761
35,Laws Patrolling (Album Version),AREBBGV1187FB523D2,0,-1,173.66159,41.993,12882
36,ֲ¿Dֳ³nde va Chichi?,ARGUVEV1187B98BA17,1997,-1,313.12934,189.646,270281
37,"Barking Dogs (From Piouhgd"")""",ARPQ4Z01187FB3A736,0,0.593943076,450.84689,130.586,244586
38,OUTE ENA EFHARISTO,ARNQAVF11F4C844C04,0,-1,303.09832,128.292,157648
39,Midnight Swim,ARXUT4W1187FB48BEB,0,0.394394856,128.83546,90.932,644631
40,In A Subtle Way,ARDD1RC1187B9B52B4,0,0,456.30649,89.667,730551
41,Spin,ARLGWFM1187FB4AC9F,2007,0.450992312,198.73914,115.061,709879
42,Burning In The Aftermath,ARWYVP51187B98C516,2003,0.528782481,95.68608,115.887,706005
43,Angie (1993 Digital Remaster),ARFCUN31187B9AD578,0,0.83449262,271.49016,139.333,42595
44,Sabor Guajiro,AR6YDKV1187B989230,0,0,226.66404,117.271,782470
45,Human Cannonball,ARV1JVD1187B9AD195,1995,0.510119314,190.48444,102.428,28723
46,Glory Be,AR7TTS41187B9B42D3,2004,0.482137585,277.78567,89.984,557761
47,Crossfire,ART3O5Z1187B9AB043,1992,-1,248.78975,116.721,417945
48,I Can't Be Satisfied,AR5U94U1187FB5CDCF,2002,-1,195.3171,123.142,575531
49,Nashville Parthenon,ARRJNTE1187FB44E12,2006,0.785892288,175.72526,141.919,234425
50,Cocain Ducks,AR6IRG41187B9A4D98,1995,-1,217.23383,95.596,505301
51,Human Being,ARS1OWB1187B99EEAD,1974,0.561692411,344.05832,154.953,74655
52,The More I See You,ARGMXQW1187FB54C34,2009,0.43483809,251.42812,86.091,322532
53,Certain Things We Do,AROEL1B1187B988B90,1997,0.405115722,269.7922,90.218,14592
54,Forming,AR8W8DN1187FB35ED0,1977,-1,206.05342,133.144,515081
55,Mafuֳ¡,ARUWLCL1187FB549B8,0,-1,190.04036,205.317,765750
56,Driving Home For Christmas,AR3793X1187FB50CB3,1986,0.767727748,241.162,180.149,17220
57,Spooks In Space,ARINEWW1187FB5577E,1966,0.43483809,122.64444,102.538,617077
58,Tous Les Garֳ§ons Et Les Filles,ARDGB6U1187FB3AD07,1985,0.38293509,207.0722,84.164,278999
59,Too Much Saturn,AR2J2WF1187FB46271,1995,0.610474258,300.79955,124.175,19601
60,Movement 4 [from Kiss] (Album Version),ARUI8651187B9ACF52,1997,0.226555314,228.46649,137.004,38599
61,Stream,AR89DTT1187B9A7ED5,0,0.415983118,239.59465,106.33,619882
62,Make Me Over,ARMD0G81187B99A519,0,-1,228.93669,107.961,618615
63,Deform (live),AR0VZWC1187B99BA57,2000,0,165.61587,174.287,681639
64,Wicker Chair,ARF2EHS1187B994F4E,2003,0.685940227,187.92444,116.823,449471
65,An ti chans',ARZKRD01187FB45FD2,0,0,276.50567,101.972,321356
66,I Will Love Again (JJ's Club Radio),ARK4H5K1187B992F74,0,-1,200.25424,127.97,530141
67,Stickin In My Eye,AR06EB01187FB40150,1992,0.671236027,144.50893,152.622,104765
68,Ota kiinni,ARKPDBH1242077DEB1,0,-1,285.17832,110.787,695158
69,Entre Canֳ­bales,ARBJSO81187B9BA09B,1990,0.62616576,246.69995,112.903,509770
70,Rosemary Recalls,ARRC2JF1187B9B6A93,1985,0,84.03546,115.642,223779
71,Sudanese Dance,ARNIFX51187FB418EA,2000,0.199238262,273.52771,125.013,466577
72,Where The Thunder Roars (Tales Of Wonder Album Version),ARCCRTI11F4C845308,0,0.265861049,298.84036,113.277,148547
73,Wanna Be A Player,ARNVH8S1187FB52F86,1997,0.237733942,161.38404,96.979,423012
74,Panama (Remastered Album Version),ARNLO5S1187B9B80CC,0,0.82448213,209.29261,140.995,7133
75,Let's Get It Started,ARTDQRC1187FB4EFD4,2004,0.624425493,229.61587,105.206,358442
76,Metal,ARK9TRQ1187B99C095,2000,0.635536649,426.89261,63.017,15567
77,She Fell Away (2009 Digital Remaster),ARODBRG1187FB3FD99,0,-1,269.26975,144.603,413222
78,Next Time,ARMBYRO1187FB57419,0,0.198785349,249.41669,167.92,80578
79,It's My Party,ARWY7I71187FB36C3D,1963,-1,136.48934,129.122,26902
80,Complicate It,AR6Y22S1187B99906F,2001,0,233.27302,132.022,633532
81,Monde De Fou,ARI5P4N1187FB3F44D,2005,0.249065795,187.24526,183.92,435830
82,Opus a Satana (Part 2),ARYPWUK1187B98ACED,0,-1,72.61995,89.867,495734
83,This Melody (Live),ARW63KF1187B98AC48,0,-1,272.63955,119.896,664484
84,I'm Gone This Time,AR8H87D1187FB3A841,0,-1,142.75873,137.29,112851
85,You Feel Good All Over,ARLWR721187B9A03C9,2002,0.382723281,194.11546,82.343,200689
86,Indian Love Call,ARF4V431187FB3AA41,1990,-1,195.91791,91.487,682725
87,You Can Still Be Free,ARBGWMW1187B9AEA3E,1999,-1,118.33424,84.69,287804
88,I Never Came,AR6G4V01187B9AD086,2005,0.725121284,288.41751,115.606,220917
89,Dixie,ARVQ4QM1187B98AD95,0,-1,123.21914,126.523,629785
90,Commercial Reign,AR9AM2N1187B9AD2F1,1990,0.665172241,283.76771,113.677,11305
91,Hourglass,AR9XEVF1187B99D017,0,0.554654767,239.3073,86.938,4967
92,Wake,ARCFOZ71187FB43A0D,0,0.304169503,206.75873,141.936,325335
93,Caricia Y Herida,ARHFEBO11F50C4825A,0,-1,134.81751,106.049,82932
94,Le tortillard,AR107SB1187B9A79F9,0,-1,285.64853,126.88,401583
95,WKYA (drop),ARXWAQQ1187B9AE954,2001,0.57010593,124.18567,85.008,8552
96,Terֳ₪slintu,ARL6XZC1187FB3936E,0,-1,134.08608,133.699,217058
97,Now's The Time To Fall In Love,ARSDSMG1187B98CB59,0,-1,155.61098,118.975,489673
98,Grim Prospects (Gross Prospects - Bad Trip Remix),AR3WMW01187B9921F7,0,-1,275.40853,102.408,475992
99,Mangos,AR3C3C01187B98E800,1961,0,223.4771,112.006,495041
100,A Distant Voice,ARDD9UN1187B98D3A7,0,0.270775999,443.24526,45.527,225610
101,Openbare Weg,ARJGNV61187B98F3B5,2006,-1,177.81506,85.621,473710
102,President Johnson,ARSVI4L1187B996181,2000,-1,385.33179,108.061,710902
103,Lead Me Lord,ARVJ0JK1187B98C9C0,1995,0.405115722,324.44036,216.195,341940
104,Spontanous Combustion,AR4PCIG1187B98D07D,0,0.242741879,275.12118,132.428,766444
105,Choro,AR1RHCO1187B9AF0BF,0,0.386790177,294.66077,168.307,432406
106,Ma Louise,AR1X2H01187B98CCF2,0,-1,193.20118,140.956,546663
107,I Want You (Forever),ARBQBZV1187B99D29E,1991,0.511254835,357.82485,130.016,548374
108,Hate,AR9ODB41187FB459B2,1997,0.460484845,198.3473,175.769,704183
109,I Can't Stop Loving You,ARF3GX71187FB3EB66,2005,0.488289876,261.95546,100.194,307618
110,Thank You Lord,AR3PN3R1187FB4CEBD,1985,-1,176.27383,151.911,784530
111,How Can You Call That Beautiful (Stewkey Vocal),ARYWCFZ11E2835CFDD,0,-1,220.89098,119.691,534470
112,Cheatin' In The Next Room,ARUT16P1187FB532A4,0,-1,235.91138,161.976,599659
113,Candy Man,AREOGMA1187B9908EF,1971,-1,239.59465,172.398,372122
114,I See The Boys Of Summer,AR4ABL21187FB3913A,0,0,171.49342,109.823,577023
115,Three Is a Crowd,AR8YV1I1187FB45D2B,0,0,266.05669,90.101,572855
116,On Bended Knee,ARR9XGB1187B9912E6,1994,0.345802234,329.27302,116.473,523481
117,My Four Reasons,ARBKUS51187B98A3AC,0,0.333554807,198.922,126.821,219943
118,Little Girl (LP Version),ARTB5PP1187FB523B7,1971,0.617365618,283.21914,111.191,266932
119,Eternamente Amame,ARXFQDY1187B9AAF1E,0,-1,238.68036,125.508,514801
120,Niev nietch nievitch,ARVEJ9M1187FB4DC44,1999,0.394394856,254.06649,137.888,421962
121,Come Over,ARTHEAP122BCFCD0B2,0,-1,184.31955,150.012,502384
122,Blue Taxi,ARQESNI1187FB511EE,0,-1,311.40526,108.367,254792
123,I Want Love (Tween You & Me) (Album Version),ARCZ20M1187FB49687,0,0.374796837,162.53342,173.482,138320
124,White Feather,ARDF8K01187FB37200,2009,-1,212.37506,110.745,722546
125,Christlike Roche,AR11NP91187B9901B4,1995,0.265861049,338.33751,130.027,46647
126,You Rascal You,ARBZAIL1187FB5B1C8,0,0.233796474,126.51057,110.168,547104
127,Sympathy,ARWXHRS1241B9C7A1E,0,-1,205.58322,97.976,683402
128,They Say (Album),ARV1P811187FB3CFC6,2007,0.215080319,193.4624,119.979,128198
129,Simon's Folly,ARIU0MA1187B98D36F,0,-1,127.4771,156.968,818344
130,Crawl Before You Ball (Album Version),ARB4D891187B9954F7,1999,-1,234.762,188.886,762520
131,Medicate Myself,ARQOC971187B9910FA,2001,0.466304831,292.8322,133.306,293668
132,Biding Her Time,AR19SOA1187B98F6E6,1990,0.480610618,241.10975,152.267,117983
133,More And More  (LP Version),ARTDBI61187FB48479,0,0.26568338,270.68036,166.275,6949
134,Cowboy Ways,ARSE6YI1187B9B9CD2,0,-1,188.73424,114.971,735425
135,Brasas Vivas,AR6C8EJ1187FB3F473,0,-1,211.80036,144.651,158078
136,Kolomeyke,AROI96Z1187B9A5304,0,-1,254.32771,152.005,199953
137,In This Life,ARIOSKN1257509BCE1,2009,-1,210.36363,155.074,329135
138,Groovin' In The Midnight,ARI0PUX1187FB3F215,1991,0.345802234,301.81832,61.971,276924
139,Waiting,ARYO9BU1187B9ADA88,1997,0.82517354,416.80934,124.04,193554
140,A'chek Ouyounik (2009 Digital Remaster),ARZ507V1187FB4425E,0,0,413.36118,191.196,409813
141,Hell,AR6XPWV1187B9ADAEB,2005,-1,117.002,152.127,440990
142,Hips Don't Lie (featuring Wyclef Jean),AR6PJ8R1187FB5AD70,0,0.73738531,217.36444,100.023,302176
143,Juoksuhauta-twist (Elֳ₪mֳ₪ juoksuhaudoissa),AR4CG3B1187FB5B861,0,-1,122.72281,192.688,124344
144,I Got Over It (Album Version),AR7BMMV1187FB5B2D7,1988,0.47212112,203.98975,154.322,762519
145,One Less Bell To Answer,AREYIHC1187B99CE0B,0,0,192.44363,236.006,177029
146,Festa,AREEMIN11F4C848971,0,0.392008771,285.36118,150.666,517150
147,Te Hacen Falta Vitaminas,ARBJSO81187B9BA09B,1984,-1,225.12281,175.421,512234
148,Sense And Trick,ARBGJLS11F4C83D4B9,0,-1,123.66322,104.153,517488
149,Fire (Oscar G Space Vocal Mix),ARVNDLR1187B99CA1B,0,-1,525.16526,127.278,776019
150,Hanging On (Medium Key Performance Track Without Background Vocals),AR5LZJD1187FB4C5E5,0,0.236420182,204.06812,160.165,696947
151,Grim Prospects (Version 2 Remix),AR3WMW01187B9921F7,0,-1,166.00771,86.091,477268
152,Christmas In Jamaica,ARAEX7Y1187FB42D36,2001,-1,219.01016,149.94,281713
153,Gossippo Perpetuo,ARK2G5U1187FB46B34,2001,0.444401715,127.9473,135.78,492999
154,2190 Dias Contigo,ARTB56G11C8A41569D,0,-1,570.90567,122.967,120640
155,No Control,AR0GGKI1187FB391D5,0,-1,230.00771,142.024,789426
156,The Vitalized Shell,ARZEWUR1187FB53DC8,2010,0.543052864,240.74404,135.535,785362
157,Mozart,AR89DTT1187B9A7ED5,1989,0.608500079,192.20853,139.189,298921
158,Ciao Milan,ARTHKKA122BCFCBF58,0,-1,152.0322,128.598,162273
159,Lend Me Your Chopper,ARJDMBO1187B9AD118,2004,0,215.30077,163.445,605167
160,Letter To Heaven,ARYJSY01187B9B7C65,1971,-1,155.21914,114.027,474726
161,Heaven is Where The Heart Is,AR77FBJ1187FB49D8D,0,-1,207.12444,111.316,364642
162,Inside Job,ARFVYJI1187B9B8E13,2006,0.659304669,428.56444,105.994,307651
163,Take A Look  (LP Version),ARBM4TC1187FB5CE98,0,-1,185.7824,88.489,614890
164,The Czar: Usurper/Escape/Martyr/Spiral (Album Version),ARMQHX71187B9890D3,2009,0.626612803,654.28853,118.433,538734
165,Bulgarian Dream,ARYXJ5A1187B9B9E56,0,0.270775999,306.72934,96.007,767591
166,Amalgama,ARULHJM1187B997004,0,-1,229.51138,187.807,554760
167,Born and Raised In Compton,AROTIMO1187FB532BF,1991,-1,205.58322,181.115,528941
168,We're Gonna Go Fishin',AR0X3JJ1187FB3A9A7,0,0.494489518,127.05914,148.357,293622
169,Robbers Kill Cop,AR035N21187FB3938E,0,0.304169503,44.35546,136.164,472444
170,Relax,ARA0H5U1187FB47949,2009,-1,203.83302,126.941,763206
171,Sweet By And By,AR358YS1187FB44A29,0,-1,176.50893,159.582,239244
172,Orgofart,ARANOZN1187B9B373E,1986,0.519448581,140.66893,89.495,329967
173,Bitch Is Back,ARHONG11187FB3B120,1988,-1,201.09016,102.259,71267
174,Naked Albino,ARRA2F91187B9B4061,1998,0,254.79791,107.529,282150
175,Johnny Loves Me (LP Version),ARSGZ3J1187FB3E610,0,0,143.0722,99.408,46723
176,Dearly Beloved,ARMQ32V1187B9999F3,0,0,163.49995,79.731,575880
177,The Look Of Love,AR8EDG51187FB41A08,0,0,289.64526,188.502,539974
178,Cooler Than You,AR1GYND1187B9A9CD3,1998,0.405652196,124.15955,133.729,558289
179,Taryns Deepest Fear,AR1PCLK1187FB5BBFF,0,0.445454525,167.3922,139.136,275722
180,Summer Dying Fast,ARF0W6Z1187B9AC325,1994,-1,321.35791,193.693,179267
181,Still,ARWGIOC1187FB4CBEF,0,-1,263.94077,76.693,517634
182,Snapshot,ARZHLNX1187FB4B8E7,0,-1,341.36771,126.95,686750
183,End Of The Road (Head Hornys Remix),ARC25S11187B993923,0,-1,333.13914,144.812,766687
184,7 Miles,ARKE8PP1187B997DD4,0,-1,349.12608,138.003,545429
185,The Frail,ARK9TRQ1187B99C095,1999,-1,168.56771,130.284,15567
186,Para Milladoiro,ARGTUWC1187B9904A0,2010,0,350.71955,152.013,789959
187,Stone Cold Fingers (Bonus Track),ARFS01P1187B9A395A,0,-1,175.62077,159.968,259476
188,Snowball,ARGWIHH1187B9A79B0,2005,0.543052864,190.24934,75.031,534031
189,(We Don't Need This) Fascist Groove Thang,AR5MK521187B98E0B8,1981,-1,255.16363,150.837,23134
190,Drunk Alone,ARU22AM1187B9961EA,0,-1,120.2673,143.231,220650
191,Charisma,ARTB56G11C8A41569D,0,-1,557.26975,123.993,515188
192,Going Down Slow,AR93RTI1187B98ECFB,2000,0.350979506,187.53261,97.981,237520
193,All Rise,AR9AN471187B99E0DA,0,-1,295.60118,137.288,64434
194,Jogo Limpo,ARAR4YH1187B98BF2A,0,0,252.02893,168.323,512027
195,Silent Hill,AR567PN1187FB4B4F2,2009,0.570850642,329.35138,111.079,737947
196,Our Love Is Here To Stay,ARYKF861187B99C74B,0,0,180.00934,133.009,495799
197,Everything Changes,AR4K59J1187FB3759B,0,0.235846203,244.45342,146.577,245279
198,Master Of Disharmony,ARLSF8H1187B9A76B0,1996,-1,282.53995,140.458,264857
199,(This Is Not A) Love Song (Live),ARDG9Z71187B997023,1983,0.26396982,388.28363,132.506,23178
200,What Are We Here For,AR56P361187B9AC4DB,1997,0.447135796,345.93914,153.862,52141
201,Une petite pause,ARDDHGI126E2B3AA76,2010,0,243.1473,93.238,755756
202,Wig,ARVML631187B99E90D,1986,0.714046553,261.74649,124.086,53826
203,Perasmena Mesanihta,ARBKMHZ11F4C843491,0,-1,172.25098,66.765,215830
204,God Save the Queen (Live),ARD3LXU1187B9ABFC5,1988,0.413739836,216.60689,145.518,754188
205,Forever,ARXOTQH1187FB57084,0,-1,363.59791,139.998,279702
206,Sun Is Shining,ARMG6K31187FB55677,2004,0.319565987,271.77751,90.648,409251
207,New Age,ARFUSID1241B9C9462,0,-1,330.65751,140.334,646806
208,Have Yourself A Merry Little Christmas,ARC6UC81187B989062,2005,0.360370583,133.27628,89.86,603055
209,U Killed It,ARKZJ301187FB521B2,2006,0.566988444,264.69832,156.097,435050
210,Rain And Snow,ARVKAWO11F50C47C9A,0,-1,228.51873,179.501,340310
211,Gerra De De,ARHXBJI1241B9C8B7F,0,-1,240.3522,86.689,752185
212,Kako mi je pitas sad,ARTFLEU1269FCD1FE3,0,-1,145.57995,160.261,667517
213,Voices On The Corner,AR0LVFQ1187B9A84E0,0,0.253834736,235.80689,101.03,150501
214,(Bloody Paw On The) Kill Floor,ARU9KWP1187B98B2A7,2007,0.519403046,192.1824,155.038,105115
215,I Wish My Mother Was Here,ARZ05QG1187FB3843E,1989,0.437351761,418.87302,117.168,142192
216,Inolvidable,ARTEGHH1187FB435C8,2003,0.676548906,198.26893,132.967,296995
217,Miracle,ARASSX21187FB528B7,1996,-1,420.10077,139.91,146503
218,Witch Weed (Live),ARRH2S81187B98C8AA,1999,0.460541281,397.26975,95.882,223472
219,Not Buried Deep Enough,ARSF4161187B9B449F,1995,0.495293621,229.79873,135.175,457879
220,Give Me 40 Acres (To Turn This Rig Around),AR87OXB1187FB39E0B,0,-1,150.64771,121.983,816840
221,Ernesto Nazareth,ARCLCFS1187B9AE476,0,-1,286.14485,169.775,319844
222,The Cube (Live),ARWAPYC1187FB3FCAF,2001,-1,384.70485,137.862,333103
223,Get Back Down,ARILV5E1187B9959C8,0,0,415.03302,83.326,775316
224,Battle Of The Rosebud / Cries,ARHSAFX1187B98E89A,0,-1,133.53751,117.667,599989
225,Beyond the Light,ARGR9FY1187FB4D0E7,0,-1,266.70975,90.908,80339
226,Spaceman,ARVG4OK1187B9B6BD3,2008,-1,284.3424,151.953,624887
227,Pulecenella 'e mֳ²,ARGCY1Y1187B9A4FA5,0,0,179.06893,161.054,726003
228,Iskorosten' (instr.),ARYFROT1187B9B78C2,0,-1,100.5971,159.895,811387
229,Big Stax/High Volts (Album Version),ARIN12F1187FB3E92C,0,0,320.60036,128.219,460988
230,It Goes On,ARMZ4PD1187B9ACBCD,0,0,302.36689,101.229,590998
231,Pecado De Amor,AR0CWSC1187B9AFE3F,0,-1,284.70812,98.859,509285
232,Illuminate,ARD5K161187B9AC784,2001,0.688521844,327.8624,125.975,2016
233,Never Forget Me,ARUZRFN1187B98AC05,2007,0.557880389,286.30159,154.09,74586
234,Ukkosenjumalan poika,ARSTH0R1187B98951E,2001,-1,356.49261,124.237,312976
235,A B***** Is A B***** (Edited),ARSL5SP1187B9A7AE0,1989,0,168.75057,97.099,160605
236,Kick Out The Jams,ARCE0H01187B9AF741,2000,-1,201.56036,140.63,282493
237,Me And My Buddy,ARW4AGO1187FB4F107,0,-1,185.67791,101.41,161810
238,Amber Changing,ARZWK2R1187B98F09F,2003,0.696469437,218.8273,186.254,559004
239,Murder Academy,ARDOOH01187B991055,1995,0.215080319,303.04608,210.47,681616
240,Hey Daddy,ARMBTFC1187FB56343,1999,-1,224.522,94.057,405643
241,4 Sea Interludes Op. 33a: Storm,ARBH0MS1187FB36311,0,-1,315.27138,100.349,152247
242,I Need You Now,ARTXEZN1187B9B8190,0,-1,275.06893,124.009,644965
243,Atmosphere Station,ARBM57Q1187B9AF97C,1986,0.545230294,191.81669,90.084,64098
244,Walk Away,ARED2DG1187FB3CB4D,2009,0.447135796,177.24036,106.698,570488
245,Shadows That Move,ARMQHX71187B9890D3,2001,0.784194616,233.58649,89.78,223563
246,Smile,ARNIFX51187FB418EA,2000,0.214253449,38.3473,107.177,466577
247,Mountains Of Mourne,AREW1KO1187B98E42E,0,0,100.85832,152.258,785416
248,Kite Live from Sydney,ARUJ5A41187FB3F5F1,2007,-1,485.19791,134.083,53563
249,Loco (Crazy),ARE2BVT1187B9AC9A2,0,-1,239.01995,106.398,508052
250,Ever Be,ARMBTFC1187FB56343,2007,-1,288.49587,160.022,282711
251,Oh Look Misery,AR97EHA1187B98AD5F,0,0,151.53587,101.492,443790
252,Yesterdays,ARFTMGO1187B9A777A,0,-1,160.28689,86.141,708314
253,Teacher's Pet,AR5J8XN1187B9B712E,0,0.621765583,181.55057,120.097,27997
254,Palmer enquֳ×te,AR4B3RX1187B9A868A,2004,-1,70.26893,128.173,263915
255,Go To Hell,ARE1N571187B98A47D,0,0.606816327,173.24363,88.835,585535
256,Moon River - Original,AR8XG9J1187FB418C1,0,0,155.74159,105.24,428274
257,La Plus Bath Des Javas,ARHSS201187B98A8CC,0,-1,148.03546,162.385,150354
258,Infidel,AR02PUA1187FB52574,0,-1,94.06649,109.636,556140
259,English Summer Rain,AR6892W1187B9AC71B,2003,0.873702495,241.52771,108.264,314
260,Spanish Shuffle (Album Version),ARGNGRI11E2835D567,0,-1,226.82077,119.524,157419
261,Intro,ARQDYV0119B866800F,2009,0.323112121,106.52689,97.76,448373
262,Empress So Divine,ARN5W1B1187B98BE10,2002,0.537503904,224.28689,241.877,146292
263,Terapia De Amor Intensiva,ARBJSO81187B9BA09B,1988,0.547324832,340.29669,91.328,509726
264,Haunting,ARETCTY1187FB4C033,0,0.494357324,216.55465,130.062,467695
265,Lies Of Hate,ARQXR6R1187FB46FD6,1998,0.360370583,279.2224,68.734,287672
266,The First Noel,ARP8TSJ1187FB54852,0,0,158.56281,94.658,662561
267,Musical Episode,AR3PN3R1187FB4CEBD,2005,0.345802234,234.44853,102.055,206882
268,Beautiful Brown eyes,ARQGYP71187FB44566,2001,0.462643183,155.95057,109.065,493266
269,Drop the Bass,ARHVU591187B99F46A,0,0,233.53424,184.981,577462
270,The Last Word (Amended Version),ARV2V751187FB4330F,2000,0.405115722,256.80934,201.802,611258
271,Hard Times,ARX9YIP1187B98A656,1984,-1,234.65751,119.67,293884
272,Just As Much As Ever,ARPPURC1187B990FB7,0,-1,163.76118,105.181,47335
273,Filipino Baby,AR0X3JJ1187FB3A9A7,0,0,159.03302,165.668,692436
274,The Boss,ARYECMK1187FB5C081,0,-1,214.04689,188.056,783225
275,Escapist,AR74Q3R1187B9B24C3,2007,-1,301.06077,143.97,386120
276,Jeffrey's Dark Side,AR1PCLK1187FB5BBFF,1987,0.615372256,109.37424,61.883,63865
277,Someone to Watch Over Me,AR0G47L1187B98CC6D,0,-1,151.82322,0,582102
278,Milagre Dos Peixes/ Musica Incidental: Cais/ Music Incidental: San Vicente,ARKUP6H1187FB3F8E3,0,-1,287.11138,163.167,165664
279,Pinned To The Ground (album version),ARHRP6Q1187FB3F016,2002,0.193857803,239.98649,144.836,762292
280,Always And Never (Album Version),AR10USD1187B99F3F1,2005,0.658623927,229.642,108.499,128122
281,Myth Takes,ARTW7I31187B9A4CA9,2007,0,143.98649,193.978,532741
282,Carpe PM,ARQCMZ01187B99342C,0,0.194735229,153.20771,88.935,530802
283,Who Shot Ya (Amended Album Version),ARSZ6MA1187FB43D29,2007,0.274281704,316.65587,91.69,327425
284,Poor Tom (Album Version),ARDIBRT1187B9AF176,1982,0.31276992,182.09914,210.8,171820
285,Wounded Hearts,ARY80281187FB3E380,2008,0.419674279,205.21751,82.205,382970
286,Love's Been Good To Me,ARXSPYZ1187B98972A,0,-1,131.05587,121.563,663608
287,When Morning Comes To Town,ARR2TI31187FB380FE,1989,0.531612769,316.73424,162.682,216819
288,Estate,ARNILB71187B99EC88,0,-1,431.64689,106.219,281210
289,Freedom Enough (From Silent Mother Nature),AR0OEYB1187FB4A81E,0,0,183.37914,172.337,495430
290,Hai Shava,ARH4N0N1187FB3E1F1,1993,-1,324.51873,210.305,99987
291,Nutty Block,ARDQO721187FB3C6D9,1991,0,172.01587,175.393,662558
292,Until You Love Someone,ARIFGKC1187B9B04D5,2005,-1,165.66812,128.459,375715
293,Part One From Triomusic,AR4IWYN1187FB47DF6,2004,0,377.67791,109.671,380099
294,Hello Young Lovers (LP Version),AR9YQN31187FB45B34,0,-1,145.00526,141.024,60518
295,Same Man,ARV3IN31187FB4AAAE,2006,0.721572661,153.28608,125.558,345570
296,Quiero Ir Ao Mar,ARCID1N1187FB51DA0,2005,-1,215.35302,211.327,441344
297,The Owl and the Pussy-cat,ARKCTSM11F4C83C839,0,-1,156.70812,147.637,287318
298,Set You Free This Time,AR7JBP41187FB3EA8A,1998,-1,168.38485,98.49,285631
299,Bloco Da Solidao (1996 Digital Remaster),ARAHQDS1187FB55275,0,-1,150.25587,137.673,150516
300,Will You Love Me Tomorrow,ARALP6I1187B989E27,1960,-1,159.76444,68.283,332859
301,Stille nacht_ heilige nacht,AR23EC41187FB4805D,0,-1,230.26893,0,79227
302,Nine Ways,AR8JSAL1187FB3CE7E,0,0.582918458,465.60608,134.014,555209
303,Northern Downpour (Album Version),ARL6FF81187FB5A916,0,0.352232225,247.77098,85.157,512607
304,Bad Seed,AR9EZGO1187B9A401F,0,0.274073578,165.98159,86.162,331289
